model,slug,field,notes,current_placeholder,new_copy
service,llm-application-development,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for LLM Application Development.</p>,"We work with the major model APIs (OpenAI, Anthropic) and pick the model per task rather than defaulting to one vendor — cost, latency, and quality trade-offs differ by use case, and we design for swapping models as the landscape shifts.

Every LLM feature we ship includes an evaluation harness, so quality regressions get caught before users see them, and usage monitoring, so cost stays predictable as traffic grows."
service,computer-vision,tagline,"max 160 chars, one line for nav dropdown","Detection, tracking, and inspection at production accuracy","Vision models that run in production, not just in a research notebook."
service,computer-vision,summary,"card/listing text, 1-3 sentences",[TODO] Computer Vision summary for cards and listings.,"We build and deploy computer vision systems — detection, classification, quality inspection — trained and tuned for your actual environment and data, not a benchmark dataset."
service,computer-vision,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for Computer Vision.</p>,"Vision work lives or dies on data quality and deployment constraints as much as model architecture. We work through labeling strategy, model selection (PyTorch-based training, YOLO for real-time detection where that fits), and the inference infrastructure needed to hit your latency and throughput requirements.

We design for the operating environment from the start — edge deployment, on-prem, or cloud inference — rather than building a model first and figuring out deployment later."
service,ml-engineering-mlops,tagline,"max 160 chars, one line for nav dropdown",Models that stay accurate after launch,The infrastructure that keeps models running after the first deploy.
service,ml-engineering-mlops,summary,"card/listing text, 1-3 sentences",[TODO] ML Engineering & MLOps summary for cards and listings.,"We build the training pipelines, deployment infrastructure, and monitoring that take a model from a working notebook to a system your team can maintain."
service,ml-engineering-mlops,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for ML Engineering & MLOps.</p>,"A model that works once isn't the hard part — keeping it working as data drifts and traffic grows is. We build reproducible training pipelines, versioned model artifacts, and the monitoring needed to catch performance degradation before it shows up as a business problem.

We design MLOps infrastructure to match your team's actual operating capacity, not a reference architecture that needs a dedicated platform team to run."
service,full-stack-development,tagline,"max 160 chars, one line for nav dropdown","React, Next.js, FastAPI, Django, NestJS","Product engineering, from database schema to deployed UI."
service,full-stack-development,summary,"card/listing text, 1-3 sentences",[TODO] Full-Stack Development summary for cards and listings.,"We build and ship full-stack applications end to end — backend architecture, frontend implementation, and everything needed to take a product from spec to production."
service,full-stack-development,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for Full-Stack Development.</p>,"We work across Python (Django, FastAPI) and Node (NestJS) backends and React/Next.js frontends, choosing the stack based on the product's actual requirements rather than a house preference.

Engagements range from a single feature build to owning a full product surface — we scope to what the team actually needs, not a standard package."
service,custom-software-development,tagline,"max 160 chars, one line for nav dropdown","Systems built for one business, not configured for many",Software built around how your business actually works.
service,custom-software-development,summary,"card/listing text, 1-3 sentences",[TODO] Custom Software Development summary for cards and listings.,We build custom applications and internal systems designed around your existing workflows and data — not a generic template that needs your business bent to fit it.
service,custom-software-development,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for Custom Software Development.</p>,"Off-the-shelf tools are the right call until they aren't. When a workflow is specific enough that no SaaS product fits cleanly, we build the system that does — with a data model and architecture designed to be maintained by your team after we hand it off."
service,devops-cloud,tagline,"max 160 chars, one line for nav dropdown",AWS and GCP infrastructure that scales without drama,Infrastructure that scales without becoming its own project.
service,devops-cloud,summary,"card/listing text, 1-3 sentences",[TODO] DevOps & Cloud summary for cards and listings.,"We design and build cloud infrastructure — deployment pipelines, containerisation, and the operational tooling that keeps a growing system reliable."
service,devops-cloud,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for DevOps & Cloud.</p>,"We work primarily in AWS and GCP, with Docker and Kubernetes for containerised workloads, building infrastructure sized to your actual traffic and team capacity rather than a reference architecture built for a much larger company."
service,salesforce-development,tagline,"max 160 chars, one line for nav dropdown",Custom Salesforce builds and integrations,Salesforce configured and extended around your actual process.
service,salesforce-development,summary,"card/listing text, 1-3 sentences",[TODO] Salesforce Development summary for cards and listings.,"We build custom Salesforce solutions — configuration, Apex development, and integrations — for teams whose process has outgrown out-of-the-box Salesforce."
service,salesforce-development,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for Salesforce Development.</p>,"We work on both configuration-level customisation and custom development where declarative tools aren't enough, including integrations with the other systems (support, billing, product data) Salesforce needs to talk to."
service,seo,tagline,"max 160 chars, one line for nav dropdown",Technical SEO and content that ranks,"Search visibility for products built to be found, not just launched."
service,seo,summary,"card/listing text, 1-3 sentences",[TODO] SEO summary for cards and listings.,"We handle technical SEO, content strategy, and search infrastructure so AI-built products are actually discoverable — not just live."
service,seo,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for SEO.</p>,"Technical SEO for AI-era products has its own failure modes — content rendered client-side, sites structured around app routes rather than crawlable pages. We audit for those specifically, then build the technical and content foundation to fix them."
service,digital-marketing,tagline,"max 160 chars, one line for nav dropdown",Performance marketing for technical products,"Marketing systems built to convert traffic, not just generate it."
service,digital-marketing,summary,"card/listing text, 1-3 sentences",[TODO] Digital Marketing summary for cards and listings.,"We run acquisition and conversion strategy — paid, content, and lifecycle marketing — built around the same data-driven approach we use in engineering work."
service,digital-marketing,body,"full page body, plain paragraphs (blank line = new paragraph)",<p>[TODO] Full body copy for Digital Marketing.</p>,"We treat marketing as a measurement problem first: instrumenting the funnel properly before optimising it, so spend goes toward what's actually converting."
usecase,real-time-fraud-and-bonus-abuse-detection,summary,"shown on homepage industry tabs, 1-2 sentences","Pattern detection across deposits, bets and withdrawals to flag bonus abuse and collusion before payout rather than after.","Detect fraud and bonus abuse patterns as they happen, not in a batch report the next morning."
usecase,real-time-fraud-and-bonus-abuse-detection,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Real-time fraud and bonus abuse detection.</p>,"Real-time detection systems that score transactions and account behaviour against fraud and abuse patterns as activity happens, flagging cases for review before losses compound rather than after."
usecase,player-risk-and-responsible-gaming-signals,summary,"shown on homepage industry tabs, 1-2 sentences","Behavioural models surfacing session-length, chasing and deposit-escalation patterns to the operator's responsible gaming workflow.",Surface at-risk play patterns early enough for intervention to matter.
usecase,player-risk-and-responsible-gaming-signals,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Player risk and responsible gaming signals.</p>,"Behavioural monitoring that flags responsible-gaming risk signals — session length, deposit velocity, chasing losses — so intervention can happen before a pattern becomes a harm case."
usecase,automated-kyc-document-processing,summary,"shown on homepage industry tabs, 1-2 sentences",OCR and extraction over identity documents with confidence scoring and human escalation on anything ambiguous.,Process identity and verification documents without a manual review queue for every submission.
usecase,automated-kyc-document-processing,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Automated KYC document processing.</p>,"Document extraction and verification pipelines that read ID documents and proof-of-address submissions, flagging only the cases that genuinely need a human look."
usecase,support-automation-grounded-in-policy,summary,"shown on homepage industry tabs, 1-2 sentences","Retrieval over your actual terms, bonus rules and withdrawal policies, so answers cite the policy rather than approximate it.","Support responses grounded in your actual terms and policy, not a generic FAQ."
usecase,support-automation-grounded-in-policy,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Support automation grounded in policy.</p>,"Retrieval-grounded support automation that answers player queries from your actual terms, bonus policy, and compliance rules — with a clear escalation path when a query needs a human."
usecase,catalogue-enrichment-at-scale,summary,"shown on homepage industry tabs, 1-2 sentences","Generating structured attributes, descriptions and categorisation across large catalogues from supplier data and images.","Turn thin product data into complete, searchable listings without manual entry."
usecase,catalogue-enrichment-at-scale,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Catalogue enrichment at scale.</p>,"Automated enrichment that generates structured attributes, descriptions, and categorisation from raw product data and imagery, at catalogue scale."
usecase,search-that-understands-intent,summary,"shown on homepage industry tabs, 1-2 sentences","Hybrid semantic and keyword search so a query for 'waterproof jacket for hiking' returns the right products, not the ones matching most words.","Search that matches what a shopper means, not just the keywords they typed."
usecase,search-that-understands-intent,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Search that understands intent.</p>,"Semantic search built on embeddings and retrieval rather than keyword matching, so results reflect intent — including for queries your existing search returns nothing useful for."
usecase,returns-and-support-triage,summary,"shown on homepage industry tabs, 1-2 sentences","Automated classification and routing of support contacts, with policy-grounded responses for the routine majority.",Route and resolve support and return requests without a first-pass human read on every ticket.
usecase,returns-and-support-triage,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Returns and support triage.</p>,"Automated triage that classifies and routes incoming support and return requests, resolving the straightforward cases directly and escalating the rest with full context attached."
usecase,demand-and-stock-forecasting,summary,"shown on homepage industry tabs, 1-2 sentences","Forecasting models over sales history, seasonality and supplier lead times, with drift monitoring as patterns shift.","Forecast demand from your actual sales and seasonality data, not a spreadsheet model."
usecase,demand-and-stock-forecasting,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Demand and stock forecasting.</p>,"Forecasting systems trained on your historical sales, seasonality, and external signals to project demand and flag stock risk before it becomes a stockout or an overstock write-off."
usecase,document-intelligence-for-onboarding,summary,"shown on homepage industry tabs, 1-2 sentences","Extraction from statements, filings and identity documents with confidence thresholds and audit trails.",Extract and verify onboarding documents without a manual data-entry step.
usecase,document-intelligence-for-onboarding,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Document intelligence for onboarding.</p>,"Document processing pipelines that extract structured data from onboarding paperwork and cross-check it against verification requirements, built to the accuracy bar regulated onboarding needs."
usecase,transaction-categorisation-and-enrichment,summary,"shown on homepage industry tabs, 1-2 sentences",Classifying transaction streams into usable categories with merchant enrichment and correction feedback loops.,"Categorise transaction data automatically, at the volume and accuracy finance requires."
usecase,transaction-categorisation-and-enrichment,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Transaction categorisation and enrichment.</p>,"Classification systems that enrich raw transaction data with categories and merchant detail, trained and evaluated against the accuracy standard your reporting and compliance needs actually require."
usecase,compliance-monitoring-and-alerting,summary,"shown on homepage industry tabs, 1-2 sentences","Pattern detection over transaction data with explainable flags, built so a compliance officer can see why something fired.","Monitor transactions and activity against compliance rules continuously, not on a periodic audit cycle."
usecase,compliance-monitoring-and-alerting,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Compliance monitoring and alerting.</p>,"Rule- and model-based monitoring that flags activity against your compliance requirements as it happens, with an audit trail built in rather than reconstructed after the fact."
usecase,customer-support-grounded-in-regulation,summary,"shown on homepage industry tabs, 1-2 sentences",Retrieval systems that answer from your actual regulatory position rather than generating plausible-sounding guidance.,Support automation that answers within the bounds of what's actually compliant to say.
usecase,customer-support-grounded-in-regulation,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Customer support grounded in regulation.</p>,"Retrieval-grounded support systems that answer customer queries from your actual regulatory and policy documentation, so responses stay inside compliance boundaries by construction, not by hoping the model gets it right."
usecase,clinical-document-processing,summary,"shown on homepage industry tabs, 1-2 sentences","Extraction and structuring from referrals, notes and reports, with human review on anything below confidence threshold.",Extract structured data from clinical documents without adding to clinician workload.
usecase,clinical-document-processing,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Clinical document processing.</p>,"Document extraction pipelines that pull structured data from clinical notes, referrals, and records, reducing manual data entry so clinician time goes toward patients rather than paperwork."
usecase,patient-communication-automation,summary,"shown on homepage industry tabs, 1-2 sentences","Appointment, reminder and follow-up workflows with escalation paths to clinical staff.",Automate routine patient communication without losing the personal parts that matter.
usecase,patient-communication-automation,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Patient communication automation.</p>,"Automated messaging for appointment reminders, follow-ups, and routine communication, freeing staff time for the interactions that actually need a person."
usecase,medical-imaging-support,summary,"shown on homepage industry tabs, 1-2 sentences","Computer vision assisting review workflows, with accuracy characterised by condition rather than reported as a single number.","Vision models that support radiologist review, not replace clinical judgement."
usecase,medical-imaging-support,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Medical imaging support.</p>,"Computer vision systems trained to flag regions of interest in medical imaging for radiologist review — built as a triage and support layer, not a diagnostic replacement."
usecase,knowledge-retrieval-for-clinicians,summary,"shown on homepage industry tabs, 1-2 sentences","Search across guidelines, protocols and internal policy that cites sources and declines when uncertain.","Retrieve answers from clinical guidelines and internal protocols in seconds, not a search through a shared drive."
usecase,knowledge-retrieval-for-clinicians,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Knowledge retrieval for clinicians.</p>,"Retrieval systems grounded in your clinical guidelines, protocols, and internal documentation, giving clinicians a fast, sourced answer instead of a manual document search."
usecase,document-automation-across-the-chain,summary,"shown on homepage industry tabs, 1-2 sentences","Extraction from bills of lading, customs forms and invoices, handling the malformed and scanned reality of the paperwork.","Process shipping, customs, and freight documents without manual re-keying at every handoff."
usecase,document-automation-across-the-chain,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Document automation across the chain.</p>,"Document extraction and automation across bills of lading, customs paperwork, and freight documentation, cutting the manual re-entry that happens at every handoff in a supply chain."
usecase,route-and-load-optimisation,summary,"shown on homepage industry tabs, 1-2 sentences","Optimisation over real constraints — vehicle capacity, driver hours, delivery windows — rather than idealised ones.","Optimise routes and load plans against your actual constraints, not a generic solver."
usecase,route-and-load-optimisation,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Route and load optimisation.</p>,"Optimisation systems that plan routes and load configurations against your real constraints — vehicle capacity, delivery windows, driver hours — rather than a one-size-fits-all routing algorithm."
usecase,exception-detection-and-triage,summary,"shown on homepage industry tabs, 1-2 sentences","Detecting delays, mismatches and anomalies across tracking data, and routing them to whoever can act.",Catch shipment exceptions early enough to act on them.
usecase,exception-detection-and-triage,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Exception detection and triage.</p>,"Monitoring systems that detect shipment exceptions — delays, misroutes, damage reports — as they occur and route them to the right team with context attached, instead of surfacing in an end-of-day report."
usecase,warehouse-computer-vision,summary,"shown on homepage industry tabs, 1-2 sentences","Counting, condition checking and inventory verification from existing camera infrastructure.",Vision systems for inventory and quality checks on the warehouse floor.
usecase,warehouse-computer-vision,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Warehouse computer vision.</p>,"Computer vision deployed on the warehouse floor for inventory counting, quality inspection, and safety monitoring, built for the lighting and throughput conditions of a real warehouse rather than a lab."
usecase,ai-features-in-your-product,summary,"shown on homepage industry tabs, 1-2 sentences","Building the AI feature your roadmap needs, with the cost model and evaluation to run it at scale.","AI features shipped inside your product, not bolted on as a separate chatbot."
usecase,ai-features-in-your-product,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for AI features in your product.</p>,We design and build AI features as native parts of your product experience — using your product's own data and UI patterns — rather than a generic chat widget dropped on top.
usecase,retrieval-over-your-own-documentation,summary,"shown on homepage industry tabs, 1-2 sentences","Support and onboarding assistants grounded in your real docs, with citations users can check.","Let users and support teams search your docs by meaning, not just keyword."
usecase,retrieval-over-your-own-documentation,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Retrieval over your own documentation.</p>,"Retrieval systems built over your product documentation and knowledge base, so users and support teams get direct, sourced answers instead of a list of loosely related articles."
usecase,usage-analysis-and-churn-signals,summary,"shown on homepage industry tabs, 1-2 sentences","Models over product telemetry surfacing the behaviour that precedes churn, with the caveats stated honestly.",Spot churn risk in usage patterns before a customer cancels.
usecase,usage-analysis-and-churn-signals,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Usage analysis and churn signals.</p>,"Analysis systems that model product usage data to surface churn risk signals early enough for a customer success team to act on them, not after the cancellation request arrives."
usecase,internal-tooling-agents,summary,"shown on homepage industry tabs, 1-2 sentences","Agents handling triage, research and routine operations against your internal systems.",Internal agents that handle the repetitive parts of your team's workflow.
usecase,internal-tooling-agents,body,"full page body, plain paragraphs",<p>[TODO] Full body copy for Internal tooling agents.</p>,"Custom internal agents built around your team's actual tools and workflows — pulling data, drafting routine responses, running repeatable multi-step tasks — so the humans on the team spend time on the parts that need judgement."
technology,langchain,tagline,max 140 chars,[TODO] How we use LangChain.,"An orchestration framework for chaining LLM calls, tools, and memory into agent workflows."
technology,langchain,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for LangChain.</p>,"We use LangChain to structure multi-step agent workflows — chaining prompts, tool calls, and retrieval steps into a pipeline that's testable and observable, rather than a single unwieldy prompt."
technology,langgraph,tagline,max 140 chars,[TODO] How we use LangGraph.,"A graph-based framework for building stateful, controllable agent workflows."
technology,langgraph,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for LangGraph.</p>,"For agents that need explicit control flow — branching logic, retries, human-in-the-loop checkpoints — we use LangGraph to model the workflow as a graph rather than a linear chain, which makes complex agent behaviour easier to reason about and debug."
technology,openai-api,tagline,max 140 chars,[TODO] How we use OpenAI API.,"OpenAI's model API, for tasks where its models are the right fit."
technology,openai-api,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for OpenAI API.</p>,"We integrate the OpenAI API where its models fit the task and cost profile best, alongside evaluation and fallback handling so a single provider's downtime or rate limits don't take down a production feature."
technology,anthropic-api,tagline,max 140 chars,[TODO] How we use Anthropic API.,"Anthropic's Claude models, for tasks where reasoning and instruction-following quality matter most."
technology,anthropic-api,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for Anthropic API.</p>,"We use the Anthropic API for tasks where longer context, careful instruction-following, or reasoning quality make Claude the better fit — chosen per use case, not by default."
technology,pytorch,tagline,max 140 chars,[TODO] How we use PyTorch.,The deep learning framework we train and fine-tune custom vision and ML models in.
technology,pytorch,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for PyTorch.</p>,"Custom model training and fine-tuning — for vision, classification, or other ML tasks off-the-shelf APIs don't cover — is built in PyTorch, giving us full control over architecture and training when a general-purpose model isn't the right fit."
technology,yolo,tagline,max 140 chars,[TODO] How we use YOLO.,"A real-time object detection model family, for vision tasks that need speed as well as accuracy."
technology,yolo,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for YOLO.</p>,"Where a vision task needs real-time inference — warehouse monitoring, live quality inspection — we use YOLO-family models, tuned and retrained on your actual data rather than run out of the box."
technology,python,tagline,max 140 chars,[TODO] How we use Python.,Our default backend and ML language.
technology,python,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for Python.</p>,"Python is our default for backend services, data pipelines, and ML work — the ecosystem overlap between application code and model code keeps a team small and a codebase coherent."
technology,fastapi,tagline,max 140 chars,[TODO] How we use FastAPI.,"A modern async Python framework for building fast, typed APIs."
technology,fastapi,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for FastAPI.</p>,We use FastAPI for services that need to serve model inference or API endpoints with low latency and strict request/response typing.
technology,django,tagline,max 140 chars,[TODO] How we use Django.,A batteries-included Python framework for content-heavy or admin-heavy applications.
technology,django,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for Django.</p>,"For applications that need a real admin interface, ORM, and a mature ecosystem out of the box, we build on Django — this site included."
technology,nestjs,tagline,max 140 chars,[TODO] How we use NestJS.,A structured Node.js framework for teams standardised on TypeScript.
technology,nestjs,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for NestJS.</p>,"Where a team's existing stack is TypeScript end to end, we build backends in NestJS rather than introducing a second language into the codebase."
technology,react,tagline,max 140 chars,[TODO] How we use React.,Our default for interactive frontend work.
technology,react,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for React.</p>,"React is our default choice for building interactive, component-based frontends, chosen for its ecosystem maturity and the hiring pool it gives a client team after handoff."
technology,nextjs,tagline,max 140 chars,[TODO] How we use Next.js.,"A React framework for production sites that need routing, SSR, and performance out of the box."
technology,nextjs,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for Next.js.</p>,"For marketing sites and products where SEO and load performance matter, we build on Next.js rather than a client-only React app."
technology,react-native,tagline,max 140 chars,[TODO] How we use React Native.,A cross-platform framework for shipping iOS and Android from one codebase.
technology,react-native,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for React Native.</p>,"Where a mobile product doesn't need platform-specific native code, React Native lets us ship iOS and Android from a single codebase rather than maintaining two."
technology,postgresql,tagline,max 140 chars,[TODO] How we use PostgreSQL.,Our default relational database.
technology,postgresql,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for PostgreSQL.</p>,"PostgreSQL is our default database for application data — reliable, well-understood, and capable enough for most systems without reaching for something more specialised prematurely."
technology,redis,tagline,max 140 chars,[TODO] How we use Redis.,"An in-memory store for caching, queues, and anything that needs to be fast."
technology,redis,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for Redis.</p>,"We use Redis for caching, background job queues, and rate limiting — anywhere a system needs sub-millisecond reads or a lightweight queue without the overhead of a heavier message broker."
technology,aws,tagline,max 140 chars,[TODO] How we use AWS.,Our default cloud provider for most infrastructure.
technology,aws,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for AWS.</p>,"AWS is our default cloud platform for hosting, storage, and managed services, chosen for its maturity and breadth unless a client's existing infrastructure points elsewhere."
technology,gcp,tagline,max 140 chars,[TODO] How we use GCP.,"Google Cloud, used where its ML and data tooling is the better fit."
technology,gcp,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for GCP.</p>,"We build on GCP where its data and ML tooling — BigQuery, Vertex AI — fits the workload better than the AWS equivalent, or where a client's existing infrastructure is already there."
technology,docker,tagline,max 140 chars,[TODO] How we use Docker.,How we package and ship every service we build.
technology,docker,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for Docker.</p>,"Every service we build is containerised with Docker from day one, so what runs in development matches what runs in production, and deployment isn't a separate integration problem."
technology,kubernetes,tagline,max 140 chars,[TODO] How we use Kubernetes.,Container orchestration for systems that have outgrown a single server.
technology,kubernetes,body,"How we use this — full page body, plain paragraphs",<p>[TODO] Full body copy for Kubernetes.</p>,"For infrastructure that needs to scale, self-heal, or run multiple services reliably, we deploy on Kubernetes — sized to actual traffic, not a reference architecture built for a much larger scale."
